,network_region,code,fueltech,capacity_registered,status,data_first_seen,lat,lon,station_name,station_code
132,NSW1,TARALGA1,wind,106.0,operating,2014-12-10T23:55:00+10:00,-34.4253872675598,149.859603200677,Taralga,TARALGA
133,NSW1,TERALBA,gas_wcmg,3.0,operating,,-32.945557,151.612042,Teralba,TERALBA
134,NSW1,THEDROP1,hydro,3.0,operating,,-35.973527000000004,145.99927399999999,The Drop,THEDROP
135,NSW1,TOWER,gas_wcmg,41.0,operating,,-34.219460999999995,150.71801200000002,Tower,TOWER
136,NSW1,UPPTUMUT,hydro,616.0,operating,2001-06-22T21:25:00+10:00,-35.9534920741923,148.369693358993,Tumut,SNOWY2
137,NSW1,SNOWY2,hydro,616.0,retired,1998-12-07T03:15:00+10:00,-35.9534920741923,148.369693358993,Tumut,SNOWY2
138,NSW1,TUMUT3,hydro,1500.0,operating,2001-06-22T21:25:00+10:00,-35.6108171090502,148.29264351448998,Tumut 3,TUMUT3
139,NSW1,SNOWYP,pumps,600.0,operating,1998-12-07T11:55:00+10:00,-35.6108171090502,148.29264351448998,Tumut 3,TUMUT3
140,NSW1,TUMUT3-4,hydro,250.0,retired,,-35.6108171090502,148.29264351448998,Tumut 3,TUMUT3
141,NSW1,TUMUT3-6,hydro,250.0,retired,,-35.6108171090502,148.29264351448998,Tumut 3,TUMUT3
142,NSW1,TUMUT3-5,hydro,250.0,retired,,-35.6108171090502,148.29264351448998,Tumut 3,TUMUT3
143,NSW1,TUMUT3-3,hydro,250.0,retired,,-35.6108171090502,148.29264351448998,Tumut 3,TUMUT3
144,NSW1,TUMUT3-1,hydro,250.0,retired,,-35.6108171090502,148.29264351448998,Tumut 3,TUMUT3
145,NSW1,TUMUT3-2,hydro,250.0,retired,,-35.6108171090502,148.29264351448998,Tumut 3,TUMUT3
146,NSW1,URANQ13,gas_ocgt,166.0,operating,2008-06-17T10:25:00+10:00,-35.180225647620205,147.21565992714,Uranquinty,URANQ
147,NSW1,URANQ14,gas_ocgt,166.0,operating,2008-06-17T10:25:00+10:00,-35.180225647620205,147.21565992714,Uranquinty,URANQ
148,NSW1,URANQ11,gas_ocgt,166.0,operating,2008-06-17T10:25:00+10:00,-35.180225647620205,147.21565992714,Uranquinty,URANQ
149,NSW1,URANQ12,gas_ocgt,166.0,operating,2008-06-17T10:25:00+10:00,-35.180225647620205,147.21565992714,Uranquinty,URANQ
150,NSW1,VP5,coal_black,660.0,operating,1998-12-07T20:25:00+10:00,-33.164639,151.5441155,Vales Point B,VP
151,NSW1,VP6,coal_black,660.0,operating,1998-12-07T01:50:00+10:00,-33.164639,151.5441155,Vales Point B,VP
152,NSW1,WAGGNSF1,solar_utility,55.0,committed,2021-07-17T00:25:00+10:00,-35.069081178076296,147.43822726118572,Wagga North,WAGGNSF
153,NSW1,WW7,coal_black,500.0,retired,1998-12-07T08:30:00+10:00,-33.403889,150.084444,Wallerawang,WW
154,NSW1,WW8,coal_black,500.0,retired,1998-12-07T01:50:00+10:00,-33.403889,150.084444,Wallerawang,WW
155,NSW1,WALGRVL1,battery_charging,50.0,operating,,-33.81747581892088,150.8272761693095,Wallgrove,WALGRV
156,NSW1,WALGRVG1,battery_discharging,50.0,operating,,-33.81747581892088,150.8272761693095,Wallgrove,WALGRV
157,NSW1,WG01,hydro,50.0,retired,2010-10-31T23:25:00+10:00,-33.883064000000005,150.595436,Warragamba,WG
158,NSW1,WELLSF1,solar_utility,216.0,operating,2020-11-01T00:25:00+10:00,,,Wellington,WELLSF1
159,NSW1,WELNSF1,solar_utility,436.8,operating,,,,Wellington North,WELNSF
160,NSW1,WESTILL1,distillate,1.0,operating,,-34.451645,150.843037,West Illawarra Leagues Club,WESTILLA
161,NSW1,AGLNOW1,bioenergy_biogas,1.0,operating,,-34.882318,150.551075,West Nowra,AGLNOW1
162,NSW1,WSTWYSF1,solar_utility,105.0,operating,,-33.7956353638098,147.3145445846548,West Wyalong,WSTWYSF
163,NSW1,WESTCBT1,distillate,1.0,operating,,-34.051072999999995,150.83275700000002,Western Suburbs League Club,WESTCBT
164,NSW1,WRSF1,solar_utility,22.0,operating,2018-08-01T00:25:00+10:00,,,White Rock,WHIROCWIND
165,NSW1,WRWF1,wind,175.0,operating,2017-07-05T23:55:00+10:00,,,White Rock,WHIROCWIND
166,NSW1,WILGAPK,gas_recip,10.0,operating,,-30.314444,149.65276799999998,Wilga Park,WILGAPK
167,NSW1,WILGB01,gas_recip,12.0,operating,,-30.314444,149.65276799999998,Wilga Park B,WILGAPKB
168,NSW1,NINEWIL1,distillate,3.0,operating,,-33.810858,151.196599,Willoughby,NINEWIL
169,NSW1,WDLNGN01,bioenergy_biogas,7.0,operating,,-35.05928,149.5749,Woodlawn,WDLNGN
170,NSW1,WOODLWN1,wind,48.0,operating,2011-05-02T23:55:00+10:00,-35.0816745987566,149.570510727867,Woodlawn,WOODLWN
171,NSW1,WOYWOY1,bioenergy_biogas,1.0,operating,,-33.506914,151.291606,Woy Woy,WOYWOY
