Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Reg Cap (MW)
Pyrenees Wind Energy Developments Pty Ltd,Waubra Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind,N,WAUBRAWF,192.0
Lightsource Australia SPV 4 Pty Ltd,Wellington Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,WELLSF1,216.0
Wemen Asset Co Pty Ltd As Trustee For Wemen Solar Unit Trust,Wemen Solar Farm,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,WEMENSF1,97.5
Enel X Australia Pty Ltd,West Illawarra Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Y,WESTILL1,1.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,WKIEWA1,31.0
AGL Hydro Partnership,West Kiewa Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,WKIEWA2,31.0
West Wyalong Fund Pty Ltd as Trustee for the West Wyalong Trust,West Wyalong Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,WSTWYSF1,105.0
Western Downs Green Power Hub Pty Ltd ATF Western Downs Green Power Hub Trust,Western Downs GPH,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,WDGPH1,501.0
Enel X Australia Pty Ltd,Western Suburbs League Club (Campbelltown) Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,N,WESTCBT1,1.0
White Rock Wind Farm Pty Ltd,White Rock Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,WRSF1,22.0
White Rock Wind Farm Pty Ltd,White Rock Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,WRWF1,175.0
Whitsunday Solar Farm Pty Ltd,Whitsunday Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,WHITSF1,57.5
Origin Energy Electricity Limited,Whitwood Road Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,N,WHIT1,1.0
